algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_B3,reward_C1,reward_C2,reward_C3,reward_D1,reward_D2,reward_D3
ppo,3x3,medium,119,42840,-129.1555555555556,334,-106.20000000000012,-122.30000000000003,-109.80000000000004,-115.50000000000004,-146.50000000000009,-158.60000000000008,-140.89999999999998,-137.10000000000002,-125.50000000000007
ppo,3x3,medium,120,43200,-117.58888888888893,337,-88.79999999999997,-101.00000000000009,-96.3,-133.00000000000003,-132.49999999999997,-140.6000000000001,-123.60000000000005,-124.30000000000004,-118.19999999999999
ppo,3x3,medium,121,43560,-125.36666666666672,340,-100.50000000000001,-115.40000000000013,-128.0000000000002,-121.70000000000005,-146.5000000000001,-121.39999999999999,-123.59999999999998,-133.39999999999992,-137.80000000000004
ppo,3x3,medium,122,43920,-123.26666666666671,343,-92.40000000000002,-117.70000000000006,-113.20000000000006,-108.80000000000005,-158.4000000000001,-138.2,-132.50000000000003,-129.70000000000005,-118.50000000000006
ppo,3x3,medium,123,44280,-126.72222222222224,345,-101.80000000000004,-103.80000000000003,-127.89999999999998,-102.50000000000009,-156.00000000000006,-156.6,-119.90000000000002,-142.4,-129.6
ppo,3x3,medium,124,44640,-127.04444444444448,348,-103.10000000000007,-106.90000000000006,-120.30000000000021,-131.7,-135.00000000000003,-146.0999999999999,-131.99999999999994,-136.5,-131.80000000000007
ppo,3x3,medium,125,45000,-122.64444444444446,351,-110.59999999999991,-100.0000000000001,-98.79999999999994,-134.00000000000006,-143.40000000000003,-159.20000000000005,-115.69999999999997,-138.3,-103.79999999999997
ppo,3x3,medium,126,45360,-124.55555555555559,354,-100.10000000000005,-105.10000000000004,-114.20000000000006,-124.79999999999993,-135.10000000000014,-148.79999999999984,-118.60000000000001,-132.20000000000002,-142.10000000000008
ppo,3x3,medium,127,45720,-123.10000000000001,357,-94.10000000000005,-118.39999999999992,-113.5,-129.70000000000007,-141.69999999999996,-128.70000000000007,-130.9,-118.59999999999991,-132.30000000000004
ppo,3x3,medium,128,46080,-123.55555555555556,360,-103.29999999999995,-97.29999999999995,-119.70000000000005,-127.29999999999994,-132.60000000000002,-142.50000000000009,-137.20000000000002,-138.00000000000003,-114.09999999999994
ppo,3x3,medium,129,46440,-121.73333333333338,362,-90.09999999999994,-101.70000000000005,-123.00000000000003,-104.69999999999999,-165.70000000000013,-130.00000000000003,-130.50000000000009,-118.5,-131.4
ppo,3x3,medium,130,46800,-125.69999999999999,365,-105.50000000000003,-115.40000000000008,-123.49999999999999,-147.09999999999994,-128.40000000000003,-136.30000000000004,-124.99999999999999,-130.30000000000004,-119.80000000000004
ppo,3x3,medium,131,47160,-123.51111111111112,368,-101.00000000000006,-115.70000000000009,-117.90000000000002,-130.80000000000004,-147.5,-135.5,-117.80000000000003,-133.5999999999999,-111.80000000000001
